,coef,se,z,p,ci_lo,ci_hi
const,-3.2006129828593233,1.4641650329666334,-2.1859646356765996,0.028818192726275615,-6.070376447473924,-0.330849518244722
S6,2.4772067463915723,2.0550754839540075,1.2054091276615182,0.22804539953609426,-1.5507412021582825,6.505154694941427
category_box,0.9587874742913731,0.7420887924671863,1.2920117970030773,0.19635305921200263,-0.4957065589443119,2.413281507527058
category_suitcase,1.4891560559166288,0.9593311469912138,1.5522857363561318,0.12059386930871208,-0.39113299218615016,3.369445104019408
category_trunk,0.2909768968587179,0.8097453681492685,0.3593437002594614,0.7193379863794642,-1.2961240247138484,1.878077818431284
is_lv,0.8156542142744972,0.4738456989685676,1.7213498319177598,0.0851873619788377,-0.11308335570389527,1.7443917842528898
