,coef,se,t,p,ci_lo,ci_hi
const,0.7892062150830504,0.014078123271724063,56.05904990675658,0.0,0.761613600500556,0.8167988296655448
year_c,-0.00605206871317239,0.0010019504945019205,-6.04028716626457,1.5384018505464605e-09,-0.008015855596688251,-0.004088281829656528
type_clean_case,0.19692501246694824,0.01852400561986616,10.630800730040539,2.1426485304283412e-26,0.16061862860259302,0.23323139633130346
type_clean_suitcase,0.21184950193398155,0.012284391278152857,17.24542121275026,1.2112672124182024e-66,0.187772537456804,0.2359264664111591
type_clean_trunk,0.2215115817724621,0.012503616777540196,17.71580061301587,3.166893997629528e-70,0.19700494321199255,0.24601822033293166
iconic_bin,0.013201008119827485,0.012447466432928203,1.0605377560935518,0.2889000226912928,-0.01119557778748305,0.03759759402713802
