obj_id,name,year,iconic,type,S8,S6,iconic_bin,year_c,type_clean
300,Large Duffel Bag Overnight Travel Keepall Rare French Co w/Strap,1970,yes,bag,0.625,0.8333333333333334,1,11.6,bag
301,Louis Vuitton Wardrobe Trunk,1940,no,trunk,0.75,1.0,0,8.6,trunk
302,Unique 20th Century Louis Vuitton Monogram Canvas Cabin Trunk,1940,yes,trunk,0.75,1.0,1,8.6,trunk
303,A LOUIS VUITTON `MINI WARDROBE' TRUNK,1940,yes,trunk,0.75,1.0,1,8.6,trunk
304,A CLASSIC MONOGRAM CANVAS SHOE WARDROBE TRUNK,1940,yes,trunk,0.75,1.0,1,8.6,trunk
305,A BLACK CANVAS MINI STAGE COACH TRUNK WITH BRASS HARDWARE,1940,no,trunk,0.96875,0.9583333333333334,0,8.6,trunk
306,"LOUIS VUITTON. A VERY FINE WARDROBE TRUNK WITH HUMIDOR AND DISPLAY SHELVES, CUSTOMIZED BY BERNARDINI LUXURY VINTAGE",1950,no,trunk,0.75,1.0,0,9.6,trunk
307,A MONOGRAM CANVAS SHOE TRUNK WITH BRASS HARDWARE,1950,no,trunk,0.71875,0.9583333333333334,0,9.6,trunk
308,A MONOGRAM CANVAS CABIN TRUNK AND A MONOGRAM CANVAS ALZER SUITCASE,1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
309,A MONOGRAM CANVAS CABIN TRUNK,1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
310,"A Louis Vuitton wardrobe trunk, covered in monogram LV canvas and bound in leather and brass with wooden banding, monogrammed C.B.O in yellow paint, key number 102847, the interior fitted with six drawers on one side and hanging space and shoe box on the other, labelled Louis Vuitton Paris Nice 870864--25 1/2 x 21 1/2 x 44 1/2in. (65 x 55 x 113cm.), circa 1960, possibly later modifications by Louis Vuitton in London, one minor lock damaged",1960,no,trunk,0.75,1.0,0,10.6,trunk
