,coef,se,z,p,ci_lo,ci_hi
const,-4.766941880535062,1.6793398830604143,-2.8385807593920944,0.0045314650790422295,-8.058448051333475,-1.47543570973665
S6,4.1288568538036285,2.5071348855023374,1.646842727800167,0.09959037635530721,-0.7851275217809528,9.042841229388209
category_box,0.781773922150182,0.8310210962729314,0.9407389603662057,0.34683864808432796,-0.8470274265447635,2.4105752708451273
category_suitcase,2.1578165108058265,1.3577958727132136,1.589205383644283,0.11201403142894462,-0.5034633997120719,4.819096421323724
category_trunk,1.4512661131891573,1.2976963964882018,1.118340250552088,0.2634217023561165,-1.0922188239277182,3.994751050306033
iconic_bin,1.0309310354530163,0.5779368635201341,1.7838125589943459,0.07445412813413133,-0.10182521704644643,2.163687287952479
year_c,0.18706222724797744,0.08898414410751097,2.102197297329378,0.03553599647108996,0.012653304797255932,0.361471149698699
